Sure. I can remove the **Registration** column and keep the remaining fields as:

 | Aircraft Type | Model | Seating Capacity |
| FW | Embraer ERJ 170-200 LR | 60 |
| FW | King Air B200 GT | 8 |
| FW | EMB-135 (Legacy 600) | 13 |
| FW | Citation 525A CJ2+ | 7 |
| FW | Citation 525A CJ2+ | 7 |
| FW | Falcon 2000 | 8 |
| FW | Bombardier Global 5000 | 13 |
| FW | BD-700-2A12 (G7500) | 16 |
| FW | Super King Air B200 | 7 |
| FW | Falcon 2000EX | 9 |
| FW | Twin Otter DHC-6-300 | 4 / Aerial Work |
| FW | Beechcraft Premier 1A-390 | 6 |
| FW | Beechcraft Premier 1A-390 | 6 |
| FW | Hawker 800XP | 8 |
| FW | BD-100-1A10 (Challenger 3500) | 10 |
| FW | BD-700-2A12 (G7500) | 15 |
| FW | Beechcraft Premier 1A-390 | 6 |
| FW | Hawker Beechcraft (Premier 1A) | 6 |
| FW | B200 GT | 9 |
| FW | Hawker 900XP | 9 |
| FW | Falcon 900EX | 14 |
| FW | Bombardier CL-600-2B16 (604 Variant) | 9 |
| FW | Cessna Citation CJ1+525 | 5 |
| FW | Hawker 900XP | 8 |
| FW | King Air C90A | 6 |
| FW | Gulfstream G-200 | 9 |
| FW | Beech Super King Air B200 | 7 |
| FW | Beech Super King Air B200 | 7 |
| FW | PA-46-350P | 4 |
| FW | EMB-135BJ (Legacy 650) | 13 |
| FW | EMB-500 (Phenom 100E) | 7 |
| FW | Falcon 2000 LX | 9 |
| FW | Falcon 2000 | 8 |
| FW | PC-12/47E | 8 |
| FW | Beech Super King Air B-200GT | 7 |
| FW | Hawker 400A XP | 8 |
| FW | Beech Super King Air B-300 (350) | 9 |
| FW | Hawker-4000 | 9 |
| FW | Falcon 2000 EX EASy | 9 |
| FW | G-150 | 9 |
| FW | Falcon 2000EX | 10 |
| FW | Hawker 800XP | 8 |
| FW | Cessna Caravan 208B | 9 |
| FW | Cessna Caravan 208B | 9 |
| FW | Cessna Caravan 208B | 9 |
| FW | PC-12/45 | 8 |
| FW | Beechcraft King Air B200 | 8 |
| FW | Pilatus PC-12 | 8 |
| FW | Learjet-45 | 9 |
| FW | Beechcraft King Air B200 | 8 |
| FW | Learjet-45 XR | 9 |
| FW | Learjet-45 XR | 9 |
| FW | Learjet-40XR | 7 |
| FW | EMB 135BJ (Legacy 600) | 13 |
| FW | SKA B200 | 8 |
| FW | Learjet-45 XR | 9 |
| FW | Learjet-40 XR | 7 |
| FW | Learjet-45XR | 9 |
| FW | EMB 135 (Legacy 600) | 13 |
| FW | Beechcraft King Air B200 | 8 |
| FW | EMB 135 (Legacy 600) | 13 |
| FW | EMB 135 (Legacy 600) | 13 |
| FW | EMB 135 BJ (Legacy 650) | 14 |
| FW | P68C | 5 |
| FW | Global Express XRS | 13 |
| FW | Challenger 650 CL-600-2B16 | 10 |
| FW | BD-700-1A11 (Global 5500) | 13 |
| FW | Cessna Citation 560XL | 8 |

This is the same full list, with **all registration numbers removed**.
